time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1687	1.35035	5.18769	0.232781	0.207017	radar	4.77514	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3931	1.43102	5.15388	0.254419	0.221704	lidar	1.15412	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6234	1.51656	5.04133	0.279076	0.242207	radar	3.7825	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8479	1.54667	5.00472	0.273227	0.220011	lidar	1.25577	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1142	1.5987	5.06537	0.272881	0.204236	radar	2.06512	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3942	1.64421	5.10773	0.268219	0.184955	lidar	2.03762	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6248	1.70158	5.05207	0.27442	0.182259	radar	0.801691	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8542	1.76536	5.03192	0.282146	0.180682	lidar	0.318259	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1108	1.85657	5.11196	0.297567	0.186829	radar	1.46569	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3542	1.88386	5.09067	0.283845	0.157908	lidar	0.709112	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6108	1.94538	5.15101	0.283763	0.146076	radar	0.937214	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8108	2.08009	5.1149	0.325541	0.189568	lidar	3.2335	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0787	2.18955	5.23072	0.341743	0.194525	radar	3.29966	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2824	2.33079	5.19957	0.381156	0.231889	lidar	2.48823	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4598	2.47738	5.05288	0.428347	0.282692	radar	10.8724	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7102	2.59191	5.08636	0.443231	0.283353	lidar	0.884627	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9293	2.70584	5.06134	0.461303	0.289489	radar	0.185844	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1584	2.85896	5.09082	0.492911	0.310461	lidar	0.580194	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4092	2.97026	5.17952	0.494415	0.287241	radar	1.48845	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6163	3.03925	5.11537	0.487336	0.261353	lidar	2.29598	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8478	3.19534	5.19208	0.511827	0.271649	radar	3.68333	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0563	3.38812	5.21942	0.556543	0.309856	lidar	1.0263	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2664	3.55672	5.19247	0.589996	0.336173	radar	2.54885	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4809	3.7433	5.22633	0.624031	0.357056	lidar	0.565676	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6919	3.8785	5.2066	0.634014	0.34799	radar	1.02483	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9146	4.0189	5.21018	0.641915	0.336307	lidar	0.243393	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.109	4.18209	5.14396	0.669647	0.357283	radar	1.74875	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3067	4.37588	5.17275	0.701123	0.373664	lidar	0.336553	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5169	4.5408	5.19555	0.713851	0.364724	radar	0.65314	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6953	4.70611	5.17129	0.733311	0.36644	lidar	0.492884	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.847	4.89665	5.04611	0.779504	0.416739	radar	4.2652	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0107	5.12149	5.08155	0.821122	0.441695	lidar	0.557692	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1807	5.28993	5.04344	0.83853	0.439221	radar	1.66983	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3395	5.46883	5.02425	0.858643	0.437185	lidar	0.192716	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4959	5.63524	4.96551	0.876418	0.437205	radar	3.10504	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.689	5.75513	4.91181	0.862455	0.394604	lidar	1.74478	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.833	5.94842	4.86574	0.893862	0.416421	radar	0.898381	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
